,epoch,GenLoss,Real score,DiscLoss
0,0,2.3660367,0.55715805,0.7146936
1,1,4.200161,0.5483539,0.7157371
2,2,4.497405,0.52430075,0.7199077
3,3,4.2462764,0.5211811,0.7221114
4,4,3.7681944,0.58521503,0.6878604
5,5,3.648016,0.5609101,0.6889087
6,6,3.946622,0.5683844,0.702636
7,7,5.4975657,0.54334784,0.70826995
8,8,4.323819,0.54191166,0.70934254
9,9,5.124467,0.58367336,0.7074991
10,10,4.6503835,0.55245996,0.6989751
11,11,4.2506166,0.5760873,0.6961036
12,12,5.210671,0.6182901,0.67675006
13,13,4.1817155,0.5519827,0.6544282
14,14,4.4460125,0.5411806,0.69368017
15,15,4.0276055,0.55731237,0.69664645
16,16,4.026208,0.5467156,0.68223256
17,17,3.9741168,0.5618508,0.68279546
18,18,3.7840252,0.55271226,0.6901062
19,19,3.9898877,0.5495093,0.70441717
20,20,4.1254606,0.57126194,0.7048592
21,21,6.963937,0.8560277,0.6335084
22,22,3.64768,0.5805785,0.69586164
23,23,3.6837704,0.58218604,0.69241506
24,24,3.3612235,0.5661372,0.6800329
25,25,3.5115194,0.56078357,0.67331153
26,26,3.2570567,0.5686336,0.66860414
27,27,3.1054246,0.5891564,0.67270714
28,28,3.721597,0.59505117,0.6874312
29,29,3.3506453,0.5717955,0.68013674
30,30,3.1722755,0.57520604,0.6825137
31,31,3.05975,0.60680914,0.67496747
32,32,3.0185132,0.6065278,0.66582096
33,33,3.111109,0.56985843,0.68035537
34,34,3.3156953,0.6007965,0.6669172
35,35,2.7710938,0.59960693,0.67406046
36,36,3.0152717,0.6165945,0.6837562
37,37,3.0822225,0.60145473,0.68438166
38,38,2.844222,0.593017,0.67059827
39,39,2.846049,0.59630215,0.6760394
40,40,2.914746,0.6186783,0.6729765
41,41,2.9451394,0.5698379,0.6882354
42,42,2.8063288,0.6072119,0.67401755
43,43,2.7826118,0.5914554,0.6681957
44,44,2.881896,0.5903173,0.68267065
45,45,2.8452437,0.5923091,0.6687009
46,46,2.6209407,0.6127844,0.6577026
47,47,2.6557438,0.6006623,0.67112696
48,48,2.7196467,0.58279717,0.6737301
49,49,2.8303814,0.6172219,0.67918605
50,50,2.8311024,0.5962305,0.6684321
51,51,2.714568,0.5854937,0.6777404
52,52,3.5348039,0.6513412,0.6500828
53,53,2.5288196,0.5998078,0.6623305
54,54,2.908198,0.63136667,0.6652023
55,55,2.8407388,0.5912684,0.6831382
56,56,2.7797031,0.58820176,0.66992617
57,57,2.8125324,0.57758963,0.67713636
58,58,3.3006198,0.63882375,0.6719746
59,59,2.8092163,0.59692794,0.6713819
60,60,2.8170636,0.5824333,0.68425417
61,61,3.1279442,0.581746,0.6689039
62,62,3.025781,0.5972954,0.6687537
63,63,2.9030566,0.57981884,0.68383604
64,64,3.2919607,0.5959381,0.682955
65,65,2.9986267,0.5637442,0.68802977
66,66,3.0632205,0.5877156,0.67617846
67,67,3.3535576,0.6000534,0.6937379
68,68,3.2793164,0.5710563,0.6787698
69,69,3.109336,0.5771506,0.6888933
70,70,3.2272296,0.5918093,0.6780293
71,71,3.5639248,0.6057242,0.6911311
72,72,3.4759207,0.5789767,0.68020934
73,73,3.5568452,0.5896927,0.6940177
74,74,3.4364085,0.5539934,0.6884947
75,75,3.4896789,0.56516314,0.68587816
76,76,3.6134374,0.5734177,0.69146043
77,77,3.5714684,0.56563926,0.6957197
78,78,3.7583504,0.54936206,0.6917077
79,79,3.9518318,0.5821043,0.69449425
80,80,3.951317,0.5631476,0.7054709
81,81,3.8363445,0.54204774,0.692012
82,82,3.7166965,0.5520962,0.69413745
83,83,4.3058476,0.5677406,0.7017467
84,84,3.788232,0.55831,0.6867079
85,85,4.3527164,0.5668179,0.6938252
86,86,2.4601097,0.8446542,0.5936388
87,87,3.2590802,0.54919404,0.6941175
88,88,3.3215954,0.5533096,0.6973438
89,89,3.400691,0.5536774,0.6983715
90,90,3.5987997,0.5482308,0.7046652
91,91,3.6063294,0.54494923,0.7039396
92,92,3.7875683,0.5507335,0.7021994
93,93,3.8425765,0.5547975,0.69645697
94,94,3.8776047,0.55562127,0.70171964
95,95,4.1390457,0.5518894,0.69998866
96,96,4.161496,0.5601024,0.70277256
97,97,3.9491167,0.5461945,0.6934527
98,98,4.1998305,0.5461606,0.7013774
99,99,4.728697,0.56841123,0.6998725
